제목,작성자,작성일,조회수,좋아요
성신여대 사회교육학과 정시,디우ㅜ,2024.11.13.,311,N/A
N/A,디우ㅜ,N/A,N/A,N/A
"연세대, 고려대 학종 분들께 질문 드리고 싶습니다!",yang한양,2024.11.13.,439,N/A
N/A,yang한양,N/A,N/A,N/A
[미대 수시] 홍대 미활보 작년 올해,iiiilliiiilllllll,2024.11.13.,516,N/A
N/A,iiiilliiiilllllll,N/A,N/A,N/A
수능 전날 푸는 국어로 뭐가 나을까요?,iiiillliiilil,2024.11.13.,765,N/A
N/A,iiiillliiilil,N/A,N/A,N/A
삼반수 하시는 분 계신가요 ㅜㅜ,미대가기으릅네여,2024.11.13.,580,N/A
N/A,미대가기으릅네여,N/A,N/A,N/A
핸드폰 관리,lllllIIllIlIll,2024.11.13.,394,N/A
N/A,lllllIIllIlIll,N/A,N/A,N/A
과탐 선택과목 어떻게 해야되나요,제발성대보내주세요,2024.11.13.,233,N/A
N/A,제발성대보내주세요,N/A,N/A,N/A
한밭대 시각영상디자인과 실기전형 추합..,박세민ㅂㅂ,2024.11.13.,75,N/A
N/A,박세민ㅂㅂ,N/A,N/A,N/A
수능 도시락,날제발붙여줘,2024.11.13.,1081,N/A
N/A,날제발붙여줘,N/A,N/A,N/A
수능 세 번 봤습니다,lIllIIllIIIIl,2024.11.13.,824,N/A
N/A,lIllIIllIIIIl,N/A,N/A,N/A
수능최저 대학등록,뽀싣,2024.11.13.,488,N/A
N/A,뽀싣,N/A,N/A,N/A
[고연대 정보성글] 기균 면접 난이도,내일생물시험,2024.11.13.,176,N/A
N/A,내일생물시험,N/A,N/A,N/A
생윤 싱어 원조 부분,허수대표,2024.11.13.,90,N/A
N/A,허수대표,N/A,N/A,N/A
생윤 환경윤리 질문,25학번될래요,2024.11.13.,112,N/A
N/A,25학번될래요,N/A,N/A,N/A
피임약으로 생리주기 조절,김한가삭조,2024.11.13.,415,N/A
N/A,김한가삭조,N/A,N/A,N/A
성신 신분증 대신 생기부,skxjsodo,2024.11.13.,212,N/A
N/A,skxjsodo,N/A,N/A,N/A
베리*(cut) 귀마개 오프라인 구매 가능한곳 부탁해요.,강아지똥7,2024.11.13.,166,N/A
N/A,강아지똥7,N/A,N/A,N/A
영어랑 국어,최저맞춰야된다무조껀,2024.11.13.,181,N/A
N/A,최저맞춰야된다무조껀,N/A,N/A,N/A
협성대붙었어여 근데 보건쪽 전문대랑 고민,케켘ㅋㅋ,2024.11.13.,503,N/A
N/A,케켘ㅋㅋ,N/A,N/A,N/A
수능 ㅍㅇㅌ,수학의 왕,2024.11.13.,507,N/A
N/A,수학의 왕,N/A,N/A,N/A
수능을 앞두고 불안한 당신을 위해(1),김라공,2024.11.13.,229,N/A
N/A,김라공,N/A,N/A,N/A
한국지리 수능,껌질겅,2024.11.13.,234,N/A
N/A,껌질겅,N/A,N/A,N/A
생각보다 찍특 영어 퀄리티 높음 3-4는 무조건 봐야할 듯요,물리 노베1등급 7일컷,2024.11.13.,641,N/A
N/A,물리 노베1등급 7일컷,N/A,N/A,N/A
수능은 내 길이 아니다 ㅅㄱ,깅 유,2024.11.13.,386,N/A
N/A,깅 유,N/A,N/A,N/A
그냥 수능 안 보고 싶어요…,gzgxgixix,2024.11.13.,568,N/A
N/A,gzgxgixix,N/A,N/A,N/A
ㅠㅠ넘불안해요,whatewer,2024.11.13.,191,N/A
N/A,whatewer,N/A,N/A,N/A
생윤 해외원조 질문,imhappyandyou,2024.11.13.,86,N/A
N/A,imhappyandyou,N/A,N/A,N/A
수능날 주머니에 소지해도 되는 물건 있나요?,동성이,2024.11.13.,631,N/A
N/A,동성이,N/A,N/A,N/A
김승리t ebs연계 예상하셨나요?,요시시요,2024.11.13.,321,N/A
N/A,요시시요,N/A,N/A,N/A
경기대 학추 동점자,ililililililililill,2024.11.13.,352,N/A
N/A,ililililililililill,N/A,N/A,N/A
숭실대 1차 합격 조발 나기 힘들죠?,생야ㅇ,2024.11.13.,539,N/A
N/A,생야ㅇ,N/A,N/A,N/A
예비고1 인강,223479,2024.11.13.,40,N/A
N/A,223479,N/A,N/A,N/A
백석문화에서 백석으로 편입,미역국밥충,2024.11.13.,168,N/A
N/A,미역국밥충,N/A,N/A,N/A
3.5 에리카 경영,엔티엔티,2024.11.13.,662,N/A
N/A,엔티엔티,N/A,N/A,N/A
화장실을 자주 가는데 어쩌죠..,뜨거운합격은없다,2024.11.13.,394,N/A
N/A,뜨거운합격은없다,N/A,N/A,N/A
충남대vs가천대,huaeae,2024.11.13.,871,N/A
N/A,huaeae,N/A,N/A,N/A
점공 한번만 봐주시면 감사하겠습니다...,요티기,2024.11.13.,267,N/A
N/A,요티기,N/A,N/A,N/A
생윤 해외원조 질문,imhappyandyou,2024.11.13.,94,N/A
N/A,imhappyandyou,N/A,N/A,N/A
혹시 반수를 성공 했는데,반수생입니다라고말함,2024.11.13.,490,N/A
N/A,반수생입니다라고말함,N/A,N/A,N/A
수능 최저 한국사,새로운삶살자,2024.11.13.,352,N/A
N/A,새로운삶살자,N/A,N/A,N/A
수능 국어 등급 예상,두벱,2024.11.13.,384,N/A
N/A,두벱,N/A,N/A,N/A
건대 숙대 영어영문,ㅇ냐뭄ㄴ먀므,2024.11.12.,304,N/A
N/A,ㅇ냐뭄ㄴ먀므,N/A,N/A,N/A
수능 좌석,isaaac,2024.11.12.,666,N/A
N/A,isaaac,N/A,N/A,N/A
아주대 탈락시키고 놀리는 건가 싶음,liliilllliiilililll,2024.11.12.,2326,N/A
N/A,liliilllliiilililll,N/A,N/A,N/A
"안녕하세여 늦깍이 수험생인데여,,, ? 교육과정바뀐거있나용..? 사업어느정도 자리잡아서 내년수능준비해볼려구하는뎅",검푸른달꽃,2024.11.12.,117,N/A
N/A,검푸른달꽃,N/A,N/A,N/A
수능장에 영어지문 어떤거 가져가야 할까요??,xxuni,2024.11.12.,309,N/A
N/A,xxuni,N/A,N/A,N/A
수능 포기각서,뾰로롱5,2024.11.12.,647,N/A
N/A,뾰로롱5,N/A,N/A,N/A
[문제질문] 사문 방송인 협회,냥룽지,2024.11.12.,143,N/A
N/A,냥룽지,N/A,N/A,N/A
강남대 (부동산건설)vs 한경대(자율전공),Next year,2024.11.12.,246,N/A
N/A,Next year,N/A,N/A,N/A
서울과학기술대학교,나에게광탈은없다,2024.11.12.,328,N/A
N/A,나에게광탈은없다,N/A,N/A,N/A
국민대 학종 붙을 수 있을까요…,헤헤히skksala,2024.11.12.,785,N/A
N/A,헤헤히skksala,N/A,N/A,N/A
전문대 간호학과 어떨까요?,봉다람,2024.11.12.,370,N/A
N/A,봉다람,N/A,N/A,N/A
아주 화학과 vs 숭실 화공,lucia루씨아,2024.11.12.,683,N/A
N/A,lucia루씨아,N/A,N/A,N/A
생윤 보수주의,듕듕댜댜,2024.11.12.,85,N/A
N/A,듕듕댜댜,N/A,N/A,N/A
다들 내일 루틴 어떻게 되시나요?,련서31,2024.11.12.,363,N/A
N/A,련서31,N/A,N/A,N/A
인하대 버리고 전남대 가는 경우도 있나요..,llllllllllilllllliii,2024.11.12.,1115,N/A
N/A,llllllllllilllllliii,N/A,N/A,N/A
"화학 어려웠던 모고 뭐가 있나요 (이번,작년)",사미사,2024.11.12.,79,N/A
N/A,사미사,N/A,N/A,N/A
유교과 고민 !🥲,유교과 아기가되,2024.11.12.,78,N/A
N/A,유교과 아기가되,N/A,N/A,N/A
수능,주인공은삼수생,2024.11.12.,99,N/A
N/A,주인공은삼수생,N/A,N/A,N/A
생윤황 있으신가요?,Laniakea,2024.11.12.,119,N/A
N/A,Laniakea,N/A,N/A,N/A
안녕하세요~,봉다람,2024.11.12.,8,N/A
N/A,봉다람,N/A,N/A,N/A
건국대 1차 가능성 있을까요?,25학번되장,2024.11.12.,759,N/A
N/A,25학번되장,N/A,N/A,N/A
자연/공학계열 수학개념 묻는 면접,illlilillllililll,2024.11.12.,48,N/A
N/A,illlilillllililll,N/A,N/A,N/A
면접 40%인데 뒤집을 수 있을까요,제발1지망합격시켜,2024.11.12.,502,N/A
N/A,제발1지망합격시켜,N/A,N/A,N/A
서울 면접 숙박,우주뿌시라,2024.11.12.,404,N/A
N/A,우주뿌시라,N/A,N/A,N/A
현고2 4등급 초반인데 학종지원 가능할까요?,킹받네,2024.11.12.,396,N/A
N/A,킹받네,N/A,N/A,N/A
[문제질문] 생윤,Eriubvz,2024.11.12.,88,N/A
N/A,Eriubvz,N/A,N/A,N/A
수능때 노트정리본,iliiiliilllilii,2024.11.12.,116,N/A
N/A,iliiiliilllilii,N/A,N/A,N/A
경북대학교 면접,망눋,2024.11.12.,114,N/A
N/A,망눋,N/A,N/A,N/A
영어 찍기특강,뚥얽,2024.11.12.,527,N/A
N/A,뚥얽,N/A,N/A,N/A
지구과학 이거 외워야 할까요?,25학번,2024.11.12.,241,N/A
N/A,25학번,N/A,N/A,N/A
성대수리논술.시험장.시간,유지도,2024.11.12.,136,N/A
N/A,유지도,N/A,N/A,N/A
수능 샤프 언제 나눠주나요,사범대를갈망하는자,2024.11.12.,652,N/A
N/A,사범대를갈망하는자,N/A,N/A,N/A
수능 날 폰 받을 때...,지리다,2024.11.12.,533,N/A
N/A,지리다,N/A,N/A,N/A
이명학모고 2등급이면 평가원은 몇등급 뜰까요,liiliiililllllililli,2024.11.12.,332,N/A
N/A,liiliiililllllililli,N/A,N/A,N/A
예비고3 앞으로의 계획좀요 ㅠ,안녕하세여여용,2024.11.12.,146,N/A
N/A,안녕하세여여용,N/A,N/A,N/A
피임약 먹어보신 분 ㅠ,Iililiilililiiliiiil,2024.11.12.,557,N/A
N/A,Iililiilililiiliiiil,N/A,N/A,N/A
[미대 수시] 한양여대 산업디자인,감두식,2024.11.12.,293,N/A
N/A,감두식,N/A,N/A,N/A
수능 때 사탕,ll0,2024.11.12.,258,N/A
N/A,ll0,N/A,N/A,N/A
[서성한 수시] 한양대 교육공학과 고른기회,수능날최고점제발,2024.11.12.,101,N/A
N/A,수능날최고점제발,N/A,N/A,N/A
사회서비스는 능력에 따라 부담하나요?,ililliliililil,2024.11.12.,87,N/A
N/A,ililliliililil,N/A,N/A,N/A
['24.11.12.(火)] 日日 學習事項,초등학교 6학년 l진l,2024.11.12.,34,N/A
N/A,초등학교 6학년 l진l,N/A,N/A,N/A
[동국대] 요거 잊지 마세요~~,사계절빛,2024.11.12.,1256,N/A
N/A,사계절빛,N/A,N/A,N/A
[문제질문] 생윤 심화 질문 알려주실 분 있을까요 ㅜㅜ,매ㅌㅊ,2024.11.12.,89,N/A
N/A,매ㅌㅊ,N/A,N/A,N/A
생윤 홉스,오노ㅠ뉴아,2024.11.12.,75,N/A
N/A,오노ㅠ뉴아,N/A,N/A,N/A
D-2 영어 답지봐도 이해안됨,11111i1,2024.11.12.,258,N/A
N/A,11111i1,N/A,N/A,N/A
남서울대 청주대,버거울땐버겁니다,2024.11.12.,481,N/A
N/A,버거울땐버겁니다,N/A,N/A,N/A
면접 바지,돌맹돌맹이,2024.11.12.,102,N/A
N/A,돌맹돌맹이,N/A,N/A,N/A
탐구 필적확인란,illliilliiilllll,2024.11.12.,55,N/A
N/A,illliilliiilllll,N/A,N/A,N/A
재수생 수험표 배부,lilililillllilllll,2024.11.12.,812,N/A
N/A,lilililillllilllll,N/A,N/A,N/A
입시는 정말..,ililllillllliiili,2024.11.12.,565,N/A
N/A,ililllillllliiili,N/A,N/A,N/A
궁금해서 여쭙니다,빛을발할원석,2024.11.12.,133,N/A
N/A,빛을발할원석,N/A,N/A,N/A
어디로 등록할까요?,늘푸른바닷,2024.11.12.,775,N/A
N/A,늘푸른바닷,N/A,N/A,N/A
명전 세무회계 vs 한경국립 경영,플러스마이너수,2024.11.12.,90,N/A
N/A,플러스마이너수,N/A,N/A,N/A
동덕여대 시위 폭력적이라는거 진짜 웃음만 나옴,ghyhji,2024.11.12.,1769,N/A
N/A,ghyhji,N/A,N/A,N/A
인천대 vs 상명대 vs 가톨릭대,캬캳,2024.11.12.,584,N/A
N/A,캬캳,N/A,N/A,N/A
생윤 롤스,행운이가득하기를바람,2024.11.12.,74,N/A
N/A,행운이가득하기를바람,N/A,N/A,N/A
인하대 면접 준비 얼마나,안녕하셀료,2024.11.12.,633,N/A
N/A,안녕하셀료,N/A,N/A,N/A
덕성여대 서류,lIllIIIlililIllI,2024.11.12.,258,N/A
N/A,lIllIIIlililIllI,N/A,N/A,N/A
면접 볼 때 부츠컷 슬랙스 입어도 될까요?,yumyum2,2024.11.12.,67,N/A
N/A,yumyum2,N/A,N/A,N/A
제발 살려주세요 4광탈 진학사 점공좀,llllilililililiiii,2024.11.12.,621,N/A
N/A,llllilililililiiii,N/A,N/A,N/A
합격기원,dkslwpqkf,2024.11.12.,50,N/A
N/A,dkslwpqkf,N/A,N/A,N/A
[미대 수시] 인하대 예비관련 질문드립니다,dififjgjdkdkdood,2024.11.12.,406,N/A
N/A,dififjgjdkdkdood,N/A,N/A,N/A
순천향대vs한남대vs백석대,바보가,2024.11.12.,272,N/A
N/A,바보가,N/A,N/A,N/A
동덕여대 남녀공학 ㅡ원론적인 반대 이유가 뭔가요?,캠퍼토리,2024.11.12.,1462,N/A
N/A,캠퍼토리,N/A,N/A,N/A
다들 화이팅!,dkslwpqkf,2024.11.12.,20,N/A
N/A,dkslwpqkf,N/A,N/A,N/A
같은 학교에서 같은 대학 학과 지원,iliiiliiiiliilii,2024.11.12.,228,N/A
N/A,iliiiliiiiliilii,N/A,N/A,N/A
가채점표,아기호랑이가되,2024.11.12.,294,N/A
N/A,아기호랑이가되,N/A,N/A,N/A
둘 중 하나 어디가 더 좋을까요?,어디갈지참,2024.11.12.,311,N/A
N/A,어디갈지참,N/A,N/A,N/A
가채점지 스티커챙겨 보내요?,응원봉,2024.11.12.,366,N/A
N/A,응원봉,N/A,N/A,N/A
[빠지실분] 청주대 신문방송학과 창의면접 빠지실 분...,빰빰이ㄹ,2024.11.12.,70,N/A
N/A,빰빰이ㄹ,N/A,N/A,N/A
끌고와서 죄송하긴한데,둉둉둉그란,2024.11.12.,287,N/A
N/A,둉둉둉그란,N/A,N/A,N/A
명지대 저를 납치해주세요,허허허잇,2024.11.12.,459,N/A
N/A,허허허잇,N/A,N/A,N/A
수능때 수시 최저 맞추는 과목 외는 찍고 잔다는데ㅠ.ㅠ,스마일lilli,2024.11.12.,512,N/A
N/A,스마일lilli,N/A,N/A,N/A
[문제질문] 롤스 원조,면접잘보기하주새오,2024.11.12.,42,N/A
N/A,면접잘보기하주새오,N/A,N/A,N/A
예비고3 정시파이터 독학형 기숙 윈터스쿨 추천해주세요,vvonvv,2024.11.12.,46,N/A
N/A,vvonvv,N/A,N/A,N/A
필기구에 글자있으면,작고 소중한 뱁새,2024.11.12.,434,N/A
N/A,작고 소중한 뱁새,N/A,N/A,N/A
롤스 해외원조 질문,재수는싫어요제발요,2024.11.12.,68,N/A
N/A,재수는싫어요제발요,N/A,N/A,N/A
레오폴드 테일러,시작이없으면끝이없ㄷ,2024.11.12.,54,N/A
N/A,시작이없으면끝이없ㄷ,N/A,N/A,N/A
수능 1114,CNDO,2024.11.12.,172,N/A
N/A,CNDO,N/A,N/A,N/A
진학사 학종 점공 점수,베이날듬,2024.11.12.,549,N/A
N/A,베이날듬,N/A,N/A,N/A
대학 추가합격을 기다리려면...,아니왜이게,2024.11.12.,418,N/A
N/A,아니왜이게,N/A,N/A,N/A
대학교 선택 경기대 용인대,호돌이유,2024.11.12.,516,N/A
N/A,호돌이유,N/A,N/A,N/A
수능 망치는 꿈,starhahaha,2024.11.12.,257,N/A
N/A,starhahaha,N/A,N/A,N/A
사문 난이도,똫똫똫,2024.11.12.,313,N/A
N/A,똫똫똫,N/A,N/A,N/A
생윤 질문) 지멜,06606060600,2024.11.12.,62,N/A
N/A,06606060600,N/A,N/A,N/A
인하대 나 왜 떨어뜨렸냐고!!!!!!!!,영어할수있을까,2024.11.12.,1094,N/A
N/A,영어할수있을까,N/A,N/A,N/A
과기대 조발 가능성?,레로니,2024.11.12.,565,N/A
N/A,레로니,N/A,N/A,N/A
을지대,대학저요제발요,2024.11.12.,280,N/A
N/A,대학저요제발요,N/A,N/A,N/A
홉스 로크 루소 사회 계약 철회,yvj,2024.11.12.,126,N/A
N/A,yvj,N/A,N/A,N/A
생윤 베카리아 질문,gggggooo,2024.11.12.,77,N/A
N/A,gggggooo,N/A,N/A,N/A
가톨릭은 붙었다 생각하겠습니다,수시날먹,2024.11.12.,791,N/A
N/A,수시날먹,N/A,N/A,N/A
수능귀마개,뽀쁘,2024.11.12.,116,N/A
N/A,뽀쁘,N/A,N/A,N/A
국어,1IIllIIllIIll1,2024.11.12.,63,N/A
N/A,1IIllIIllIIll1,N/A,N/A,N/A
수능 때 신분증 뭐 들고 가시나요?,우재우쟝,2024.11.12.,453,N/A
N/A,우재우쟝,N/A,N/A,N/A
[문제질문] 생윤 질문,열시미해야징,2024.11.12.,66,N/A
N/A,열시미해야징,N/A,N/A,N/A
학종(최저X) 수능 미응시 불이익?,8ㅡ3,2024.11.12.,623,N/A
N/A,8ㅡ3,N/A,N/A,N/A
서울여대 정시 반영 과목 질문,이이이이이익,2024.11.12.,208,N/A
N/A,이이이이이익,N/A,N/A,N/A
정시 직탐 보는 대학들,박일성,2024.11.12.,60,N/A
N/A,박일성,N/A,N/A,N/A
가톨릭대,저요제발저요저요,2024.11.12.,239,N/A
N/A,저요제발저요저요,N/A,N/A,N/A
생윤 환경윤리 테일러,dudwn822,2024.11.12.,107,N/A
N/A,dudwn822,N/A,N/A,N/A
국어 순서 바꾸기,애기공쥬얌,2024.11.12.,178,N/A
N/A,애기공쥬얌,N/A,N/A,N/A
인하대 산공 면접 어떤가요..?,구구고쿠구,2024.11.12.,227,N/A
N/A,구구고쿠구,N/A,N/A,N/A
과잠은 매년 바뀌어요?,히히히히해,2024.11.12.,418,N/A
N/A,히히히히해,N/A,N/A,N/A
사회문화 2차집단 질문이요!!!,운학아대학응원해줘,2024.11.12.,178,N/A
N/A,운학아대학응원해줘,N/A,N/A,N/A
8~9등급이면 학원 과외 의미 없죠?,iililliiliililii,2024.11.12.,447,N/A
N/A,iililliiliililii,N/A,N/A,N/A
일반고 3등급 중앙대 수학과,허수그자체,2024.11.12.,805,N/A
N/A,허수그자체,N/A,N/A,N/A
[외대] 외대 면접형 붙으신 선배분들,외대보내주세용,2024.11.12.,297,N/A
N/A,외대보내주세용,N/A,N/A,N/A
수만휘 관계자분들께,iililiiliilililiill,2024.11.12.,592,N/A
N/A,iililiiliilililiill,N/A,N/A,N/A
실모 때문에 멘탈,553,2024.11.12.,203,N/A
N/A,553,N/A,N/A,N/A
덕성여대 1차 붙었는데,nn1,2024.11.12.,762,N/A
N/A,nn1,N/A,N/A,N/A
남서울대 농어촌쓰신분 계신가요,위용위영,2024.11.12.,40,N/A
N/A,위용위영,N/A,N/A,N/A
수시 2차 간호 전문대,서녕158,2024.11.12.,345,N/A
N/A,서녕158,N/A,N/A,N/A
생윤 분별,afa78,2024.11.12.,48,N/A
N/A,afa78,N/A,N/A,N/A
전주대 간호학과 예비 공유하실 분 있나요,Hone2,2024.11.12.,75,N/A
N/A,Hone2,N/A,N/A,N/A
[미대 수시] 홍대 1차 발표가 났네요!!!! 면접후기 예전에도 썼었는데 다시 남겨봐요! 화이팅!,홍대화이팅ㄴㅁㅁ,2024.11.12.,690,N/A
N/A,홍대화이팅ㄴㅁㅁ,N/A,N/A,N/A
서정대 동물보건 vs 연성대 동물보건,qwer1234567890,2024.11.12.,47,N/A
N/A,qwer1234567890,N/A,N/A,N/A
인하대 면접 큰일났다,고고고333,2024.11.12.,1169,N/A
N/A,고고고333,N/A,N/A,N/A
생기부어디서뽑나요ㅠ,illlllillillil,2024.11.12.,183,N/A
N/A,illlllillillil,N/A,N/A,N/A
동국이와 썸 1일...,아리아리콩,2024.11.12.,759,N/A
N/A,아리아리콩,N/A,N/A,N/A
[문제질문] 롤스 시민불복종,lilillllllilll,2024.11.12.,87,N/A
N/A,lilillllllilll,N/A,N/A,N/A
인하대 경영 면접 보신 선배님들,삼두컬,2024.11.12.,190,N/A
N/A,삼두컬,N/A,N/A,N/A
조정식 더데유데 풀어본사람,언확생문,2024.11.12.,193,N/A
N/A,언확생문,N/A,N/A,N/A
경북대vs가천대vs가톨릭대,daniel735,2024.11.12.,811,N/A
N/A,daniel735,N/A,N/A,N/A
명지 vs 가톨릭 vs 인천,일반고수시파이터,2024.11.12.,234,N/A
N/A,일반고수시파이터,N/A,N/A,N/A
수능감독관으로 아는 쌤 만나기도 하나요?,monk0212,2024.11.12.,599,N/A
N/A,monk0212,N/A,N/A,N/A
[동국대] 첫 뜨거운 합격,ioiiioi,2024.11.12.,1627,N/A
N/A,ioiiioi,N/A,N/A,N/A
탐구 볼 때,띵땅띵땅,2024.11.12.,128,N/A
N/A,띵땅띵땅,N/A,N/A,N/A
외글 가톨릭,선홍11,2024.11.12.,155,N/A
N/A,선홍11,N/A,N/A,N/A
1년전 6수시 6광탈 지금은...,어떻해야 하지,2024.11.12.,1657,N/A
N/A,어떻해야 하지,N/A,N/A,N/A
수능날 영어2,tytmslh,2024.11.12.,282,N/A
N/A,tytmslh,N/A,N/A,N/A
농어촌에 노베인데 홍대 자유전공 가능할까요..?,IlIlIIIllIIIlI,2024.11.12.,102,N/A
N/A,IlIlIIIllIIIlI,N/A,N/A,N/A
예비 고2 문과 어느 인강 들으면 좋을지 추천부탁드려요,대학가야지ㅠㅜ,2024.11.12.,117,N/A
N/A,대학가야지ㅠㅜ,N/A,N/A,N/A
도시락 까먹는 재미,합격시켜주세요갈거야,2024.11.12.,176,N/A
N/A,합격시켜주세요갈거야,N/A,N/A,N/A
수능 영어 난이도,토마짱,2024.11.12.,476,N/A
N/A,토마짱,N/A,N/A,N/A
백석대 창의인재,김지렁,2024.11.12.,72,N/A
N/A,김지렁,N/A,N/A,N/A
[서성한 수시] 지방 일반고 한양대 학종 가능성 있을까요..?,rkdals0,2024.11.12.,488,N/A
N/A,rkdals0,N/A,N/A,N/A
방사선학과 청주대 vs 동서대,부우디,2024.11.12.,175,N/A
N/A,부우디,N/A,N/A,N/A
근데 여대가 왜 존립해야하는건가요?,Peteru,2024.11.12.,653,N/A
N/A,Peteru,N/A,N/A,N/A
부탁드립니다. 초5 수학문제 좀 풀어주세요~~~ 풀이과정까지~,여르미여,2024.11.12.,123,N/A
N/A,여르미여,N/A,N/A,N/A
1차 불합,sarahinstudy,2024.11.12.,606,N/A
N/A,sarahinstudy,N/A,N/A,N/A
동국대,동국숭가장,2024.11.12.,1059,N/A
N/A,동국숭가장,N/A,N/A,N/A
이명학 모고 난이도 어떤거 같나요,illliiillio,2024.11.12.,190,N/A
N/A,illliiillio,N/A,N/A,N/A
광주보건대학교 방사선학과vs대전보건대 방사선학과,choiyj7525,2024.11.12.,59,N/A
N/A,choiyj7525,N/A,N/A,N/A
아주 전자 인하 전자 면접 어디갈까여ㅠㅠ,xjxjx,2024.11.12.,470,N/A
N/A,xjxjx,N/A,N/A,N/A
수능 2일전 모두 응원합니다,모두다행복하기,2024.11.12.,83,N/A
N/A,모두다행복하기,N/A,N/A,N/A
종합 합불,간호학과 갈과,2024.11.12.,173,N/A
N/A,간호학과 갈과,N/A,N/A,N/A
생윤 해외원조,두바이찹쌀떡,2024.11.12.,89,N/A
N/A,두바이찹쌀떡,N/A,N/A,N/A
[미대 수시] 조선대 추합,채채띵,2024.11.12.,151,N/A
N/A,채채띵,N/A,N/A,N/A
쌤이 보내주신 학교 리스트안에서 배정되나요?,leezi1,2024.11.12.,227,N/A
N/A,leezi1,N/A,N/A,N/A
탐구포기각서,햄슈터,2024.11.12.,144,N/A
N/A,햄슈터,N/A,N/A,N/A
청주대 간호 일반전형,난뭐하까,2024.11.12.,114,N/A
N/A,난뭐하까,N/A,N/A,N/A
[충북권] 청주대 자유전공,Llililisis,2024.11.12.,211,N/A
N/A,Llililisis,N/A,N/A,N/A
테일러 질문 !!!,대학가고싶어요제방,2024.11.12.,96,N/A
N/A,대학가고싶어요제방,N/A,N/A,N/A
생명계열 인천대 가톨릭대,쀼애엉,2024.11.12.,345,N/A
N/A,쀼애엉,N/A,N/A,N/A
수능만점합격응원 323일째 수능 기출 실전 풀이,옳은교육,2024.11.12.,85,N/A
N/A,옳은교육,N/A,N/A,N/A
"동아시아사 문제 작년수능기출 한문제 알려주실분.,ㅜㅜ",재수생인생해탈기쁨,2024.11.12.,113,N/A
N/A,재수생인생해탈기쁨,N/A,N/A,N/A
"[교재] 2025 정승제T 개때잡,기출끝",해군상어,2024.11.12.,23,N/A
N/A,해군상어,N/A,N/A,N/A
문과 2점대 수시 질문해봅니다..,dbsgu11,2024.11.12.,432,N/A
N/A,dbsgu11,N/A,N/A,N/A
한번만 괜찮다고 잘볼거라고 얘기해주실 수 있나요 수능 전 마지막이란 생각으로 풀모 풀었는데 조졌어요,IlllIIlllIlllII,2024.11.12.,215,N/A
N/A,IlllIIlllIlllII,N/A,N/A,N/A
교대 둘다 붙었는데 아주대가 떨어지네여..,중앙냐,2024.11.12.,1004,N/A
N/A,중앙냐,N/A,N/A,N/A
생윤 질문 !!!,대학가고싶어요제방,2024.11.12.,70,N/A
N/A,대학가고싶어요제방,N/A,N/A,N/A
대학 좀 골라주세요.. 제발 ㅜㅠ,토리임니다,2024.11.12.,421,N/A
N/A,토리임니다,N/A,N/A,N/A
면접시간 바꿔보신분들 계신가요?ㅠㅠㅠㅠ제발 도와주세요,xjxjx,2024.11.12.,709,N/A
N/A,xjxjx,N/A,N/A,N/A
시계 2개 챙겨가는건 너무 유난같나요?ㅠㅠ,이번엔진짜가야됨,2024.11.12.,449,N/A
N/A,이번엔진짜가야됨,N/A,N/A,N/A
사문질문,ㅅㅡ,2024.11.12.,65,N/A
N/A,ㅅㅡ,N/A,N/A,N/A
한경대 복지상담과 쓰신분,saqwertyu,2024.11.12.,89,N/A
N/A,saqwertyu,N/A,N/A,N/A
아주대 카톡,moomooob,2024.11.12.,687,N/A
N/A,moomooob,N/A,N/A,N/A
인하대 합격,지숭이얌롤호,2024.11.12.,700,N/A
N/A,지숭이얌롤호,N/A,N/A,N/A
동국대 1차합,페데리코우,2024.11.12.,750,N/A
N/A,페데리코우,N/A,N/A,N/A
동국대 아직 안봤는데ㅜㅡㅜ,iilllilililillllllii,2024.11.12.,701,N/A
N/A,iilllilililillllllii,N/A,N/A,N/A
아주대 간호 1차 합!,25학번 간호대,2024.11.12.,1067,N/A
N/A,25학번 간호대,N/A,N/A,N/A
[충북권] 청주대 일반전형 신방과 예비 13번 붙을까요..ㅜㅜ,ㅈㅂㅈㅂ신방과,2024.11.12.,84,N/A
N/A,ㅈㅂㅈㅂ신방과,N/A,N/A,N/A
떨어졌는데 빡치게 하네,25학번,2024.11.12.,1246,N/A
N/A,25학번,N/A,N/A,N/A
아주대 경제정치사회융합,밝을욱,2024.11.12.,330,N/A
N/A,밝을욱,N/A,N/A,N/A
한세대 면접 전형 자유전공,yessss,2024.11.12.,111,N/A
N/A,yessss,N/A,N/A,N/A
수능 영어 풀기 시작하는 시간,문송합니다ㅠㅠ,2024.11.12.,251,N/A
N/A,문송합니다ㅠㅠ,N/A,N/A,N/A
아주대 아주 nice하다 진짜 사랑한다💙💙💙,고쓰리의우당탕입시,2024.11.12.,906,N/A
N/A,고쓰리의우당탕입시,N/A,N/A,N/A
수만휘도 동덕여대에 먹혔구나 ..,아잉조아요,2024.11.12.,1516,N/A
N/A,아잉조아요,N/A,N/A,N/A
아주대 합격했는데 기분이 안좋네,가나다멍,2024.11.12.,1409,N/A
N/A,가나다멍,N/A,N/A,N/A
동국대 두고봐라,쁘응,2024.11.12.,515,N/A
N/A,쁘응,N/A,N/A,N/A
